source,source_type,target,target_type,relation,evidence_count,evidence_titles
event:employment,event,asset:stocks,asset,NEUTRAL_IMPACT,542,"Mid-Day Update: Stocks Mixed as Investors Digest Employment Data | Wall St logs sharp losses as labor market strength stokes rate-hike fears | US STOCKS-Wall St eyes record open on strong jobs report, Pfizer COVID-19 pill c | US STOCKS-Wall St rises on stimulus bets as labor market rebound cools | Wall Street rises on stimulus bets as labor market rebound cools"
event:employment,event,asset:stocks,asset,POSITIVE_IMPACT,318,US STOCKS-Futures rise ahead of weekly unemployment data | Stimulus bets set to lift Wall Street as labor market rebound slows | Wall Street rallies to end higher on surprise U.S. jobs report | Wall Street ends four-day rally in advance of May jobs report | Stocks Climb Before the Open as U.S. ADP Jobs Report Looms
event:employment,event,asset:stocks,asset,NEGATIVE_IMPACT,280,"Mid-Day Update: Stocks Down, But Off Lows After Disappointing Employment Data | US STOCKS-Wall St ends lower as labor market strength stokes rate-hike fears | Wall St set to open higher on surprise drop in unemployment rate | Markets Today: Stocks Drop on Apple Weakness and U.S. Labor Market Strength | US STOCKS-Wall Street closes lower after US jobs report, Apple weighs"
asset:stocks,asset,asset:futures,asset,POSITIVE_CORRELATION,240,"US STOCKS-Futures rise ahead of weekly unemployment data | Wall St futures inch up as investors pin hopes on Fed rate cuts | US Stocks futures inch up ahead of more megacap earnings, employment data | US STOCKS-Futures climb on Apple earnings cheer, key jobs report on tap | US STOCKS-Wall St futures slide after robust November jobs report"
event:employment,event,asset:dollar,asset,NEUTRAL_IMPACT,211,Silver Prices Forecast: XAG/USD’s Stability Tested by Upcoming U.S. Labor Market | Silver Prices Forecast: XAG/USD Dips Ahead of US Labor Market Report | Eurozone Inflation and U.S ADP Nonfarm Payrolls Put the EUR and Dollar in Focus | Service Sector PMIs and ADP Nonfarm Payrolls to Keep the EUR and USD in Focus | Service Sector PMI and U.S Nonfarm Payrolls Put the EUR and USD in the Spotlight
event:employment,event,event:rate_hike,event,CO_OCCURRENCE,148,US STOCKS-Wall St ends lower as labor market strength stokes rate-hike fears | Wall St logs sharp losses as labor market strength stokes rate-hike fears | US STOCKS-Wall St set for lower open as jobs report stokes rate-hike worries | US STOCKS-Wall St subdued as signs of tight labor market fuel rate hike fears | US STOCKS-Wall Street climbs after jobs report rekindles hopes of smaller rate h
event:employment,event,asset:futures,asset,NEUTRAL_IMPACT,117,"US Stocks futures inch up ahead of more megacap earnings, employment data | S&P Futures Tread Water as Investors Await Key U.S. Jobs Report | Futures Hold Gains After Labor Market Data Misses Expectations | US Equities Futures Edge Up Ahead of Pivotal Jobs Report | US STOCKS-Futures subdued ahead of more megacap earnings, employment data"
event:employment,event,asset:futures,asset,NEGATIVE_IMPACT,113,"US STOCKS-Wall St futures slide after robust November jobs report | Stock Futures Trading Lower as Oil Braces For OPEC Announcement, Jobs Report | US Futures Slip Ahead of Jobs Report | US STOCKS-Futures dip ahead of labor market data | Nasdaq Futures Slip as Bond Yields Rebound, U.S. Jobs Report Looms"
event:employment,event,asset:futures,asset,POSITIVE_IMPACT,102,"US STOCKS-Futures rise ahead of weekly unemployment data | US STOCKS-Futures climb on Apple earnings cheer, key jobs report on tap | S&P Futures Climb as Investors Await Key U.S. Jobs Report | U.S. Stock Futures Build on Gains After Above-Consensus Gain in February Employm | Nasdaq Futures Climb as Bond Yields Retreat, U.S. Jobs Report Looms"
event:employment,event,asset:bonds,asset,NEGATIVE_IMPACT,91,"GLOBAL MARKETS-Stocks tumble, U.S. bond yields rise on strong jobs report | GLOBAL MARKETS-Stocks fall, U.S. bond yields jump on strong jobs report | GLOBAL MARKETS-Stocks, bonds tumble as stellar US jobs report may force Fed reth | TREASURIES-Yields fall as COVID-19, jobs report cloud economic view | PRECIOUS-Gold steadies as bond yields slip; focus on U.S. jobs report"
event:rate_cut,event,asset:stocks,asset,POSITIVE_IMPACT,83,"US STOCKS-Wall St set to open higher as investors pin hopes on Fed rate cuts | CANADA STOCKS- TSX eyes higher open on Fed rate cut hopes | CANADA STOCKS-Toronto shares at 10-month high on commodities boost, Fed rate cut | Midday Update: Stocks Rally on Labor Market Gains, Japanese Stimulus Measures &  | CANADA STOCKS-TSX futures gain on higher commodity prices, Fed rate cut bets"
event:employment,event,asset:investors,asset,NEUTRAL_IMPACT,75,Mid-Day Update: Stocks Mixed as Investors Digest Employment Data | Daily Markets: Investors Weigh Jobs Reports Against An Increasingly Uncertain Fu | US STOCKS-S&P 500 end lower as investors weigh fresh employment data | US STOCKS-S&P 500 flat as investors weigh fresh employment data | Daily Markets: What Investors Are Watching After Digesting March Jobs Report
event:employment,event,asset:bonds,asset,NEUTRAL_IMPACT,74,"Stocks Little Changed Before the Open as Bond Yields Stabilize, U.S. ADP Jobs Re | Nasdaq Futures Climb as Bond Yields Retreat, U.S. Jobs Report Looms | Treasury Secretary Warns 20% Unemployment Rate Possible Without Coronavirus Stim | US two-year Treasury yield surges to 16-year high after employment data | Positive Jobs Report Weighs on Treasury Bonds, ETFs"
event:rate_cut,event,asset:stocks,asset,NEUTRAL_IMPACT,70,Wall St futures inch up as investors pin hopes on Fed rate cuts | Wall St brokerages bring forward Fed rate cut expectations | US STOCKS-Wall St rises as soft employment data supports rate cut bets | CANADA STOCKS-TSX rises as Fed rate cut hopes outweigh sticky inflation data | 3 Stocks to Buy Now if You Think Fed Rate Cuts Are Still Coming
event:employment,event,asset:euro,asset,NEUTRAL_IMPACT,64,European Equity Benchmarks Close Higher; Euro Area Unemployment Rate Falls | Eurozone Inflation and U.S ADP Nonfarm Payrolls Put the EUR and Dollar in Focus | Service Sector PMIs and ADP Nonfarm Payrolls to Keep the EUR and USD in Focus | Service Sector PMI and U.S Nonfarm Payrolls Put the EUR and USD in the Spotlight | FOREX-Dollar on backfoot against euro after U.S. jobs report
event:employment,event,asset:bonds,asset,POSITIVE_IMPACT,62,"Nasdaq Futures Slip as Bond Yields Rebound, U.S. Jobs Report Looms | Stocks Set to Open Lower as Bond Yields Rebound, U.S. Jobs Report Looms | Markets Today: Stocks Slip as Bond Yields Climb on U.S. Labor Market Strength | Fed Stance Unaffected by Jobs Report as Treasury ETFs Climb | Government Bond Yields Rise After Jobs Report"
event:employment,event,asset:crude,asset,NEUTRAL_IMPACT,57,"Stock Futures Trading Lower as Oil Braces For OPEC Announcement, Jobs Report | Mid-Day ETF Update: ETFs, Stocks Weaker Despite Bump in Crude Oil Prices; Concer | Stocks Down as Employment Data Weighs; Crude Futures Back Off Yesterday's Gains | Commodities Finish Higher; Oil Rises on Strong Employment Data; Gold Adds Modest | Stocks Mixed at Mid-Day; Rising Crude Prices Weigh on Upbeat Jobs Report"
event:rate_cut,event,asset:dollar,asset,NEUTRAL_IMPACT,56,"Gold Prices Forecast: XAU/USD Steady as Fed Rate Cut Speculation Intensifies | Silver Prices Forecast: XAG/USD Firms Amid Fed Rate Cut Expectations | Dollar Bruised and Wounded by US Rate Cut Bets, Gold Snoozes | Dollar Weakens Amid Rising Bets of a Fed Rate Cut | Silver Prices Forecast: Fed Rate Cut Buzz Lifts XAG/USD to Three-Week High"
event:employment,event,asset:gold,asset,NEUTRAL_IMPACT,55,"Gold, Silver ETFs Hit Six-Month Highs On Jobs Report | Gold Price Forecast: Facing Fourth Weekly Loss Ahead of US Nonfarm Payrolls | Gold Price Forecast: Focus Shifts to Labor Market Data Amid Rate Hike Concerns | PRECIOUS-Gold steadies as bond yields slip; focus on U.S. jobs report | Commodities Finish Higher; Oil Rises on Strong Employment Data; Gold Adds Modest"
event:employment,event,asset:dow,asset,NEUTRAL_IMPACT,54,"Mid-Day Update: Record Highs Fueled by Bullish Labor Market Data; Dow Cracks 25, | Dow Jones Surges Ahead of Jobs Report | Dow Hits 17,000 On Jobs Report; Walgreen Same-Store-Sales Surge 7.5% | Dow Jones Rises as Labor Market Disappoints; Boeing Stock Sinks on Possible Equi | Dow Jones Rises on Jobs Report; Apple and McDonald's Hit the Brakes; Exxon Discl"
event:employment,event,asset:sp500,asset,NEUTRAL_IMPACT,52,"S&P 500 set to snap winning streak as labor market rebound slows | S&P 500 eases from five-month high as labor market rebound slows | US STOCKS-S&P 500 barely gains ahead of Powell testimony, jobs report | US STOCKS-S&P 500 flat as investors weigh fresh employment data | S&P Futures Tread Water as Investors Await Key U.S. Jobs Report"
asset:yields,asset,asset:bonds,asset,POSITIVE_CORRELATION,50,"Stocks Little Changed Before the Open as Bond Yields Stabilize, U.S. ADP Jobs Re | GLOBAL MARKETS-Stocks tumble, U.S. bond yields rise on strong jobs report | GLOBAL MARKETS-Stocks fall, U.S. bond yields jump on strong jobs report | Nasdaq Futures Climb as Bond Yields Retreat, U.S. Jobs Report Looms | Nasdaq Futures Slip as Bond Yields Rebound, U.S. Jobs Report Looms"
asset:euro,asset,asset:dollar,asset,POSITIVE_CORRELATION,47,Eurozone Inflation and U.S ADP Nonfarm Payrolls Put the EUR and Dollar in Focus | Service Sector PMIs and ADP Nonfarm Payrolls to Keep the EUR and USD in Focus | Service Sector PMI and U.S Nonfarm Payrolls Put the EUR and USD in the Spotlight | FOREX-Dollar on backfoot against euro after U.S. jobs report | EUR/USD Falls To 1.2900 after U.S. Unemployment Rate Drops To 9.4%
asset:stocks,asset,asset:sp500,asset,POSITIVE_CORRELATION,40,"US STOCKS-S&P 500 barely gains ahead of Powell testimony, jobs report | US STOCKS-S&P 500 ends slightly lower after jobs report | US STOCKS-S&P 500 end lower as investors weigh fresh employment data | US STOCKS-S&P 500 flat as investors weigh fresh employment data | US STOCKS-S&P 500 set for muted open as strong jobs report sparks inflation worr"
asset:europe_stocks,asset,asset:stocks,asset,POSITIVE_CORRELATION,38,"European Stocks Advance Led by Miners, Oil Stocks Ahead of US Jobs Report | European shares bounce back from U.S. jobs report hammering | European Stocks Edge Lower Ahead of US Jobs Report | European Stocks Rebound On US Jobs Report, Financial Sector Recovers | European Shares Rise After U.S. Jobs Report"
asset:stocks,asset,asset:dollar,asset,POSITIVE_CORRELATION,37,"GLOBAL MARKETS-Stocks steady, dollar gains as investors ponder Fed rate cuts | GLOBAL MARKETS-Shares sluggish, dollar dips as markets eye Fed rate cuts | GLOBAL MARKETS-Shares tread water, dollar dips as markets eye Fed rate cuts | Stocks Hold Steady as Weak Dollar Offsets Jobs Report | GLOBAL MARKETS-U.S. jobs report pares stock, dollar gains"
asset:stocks,asset,asset:investors,asset,POSITIVE_CORRELATION,36,"Mid-Day Update: Stocks Mixed as Investors Digest Employment Data | Wall St futures inch up as investors pin hopes on Fed rate cuts | US STOCKS-S&P 500 flat as investors weigh fresh employment data | Stocks Mixed at Mid-Day, Despite Positive Jobs Report, as Investors Consolidate  | Stocks Flat as Investors Eye Government Employment Data Due Tomorrow; Commoditie"
event:employment,event,asset:yen,asset,NEUTRAL_IMPACT,36,"Yen Falls Against Dollar and Euro Ahead of U.S. Jobs Report (FXY) | FOREX-Yen falls as Aussie jobs report peps risk appetite | FOREX-Euro rebounds, dollar up vs yen on jobs report | FOREX-Dollar rebounds vs yen, U.S. nonfarm payrolls awaited | FOREX-Dollar rises vs yen after U.S. jobs report"
asset:stocks,asset,asset:dow,asset,POSITIVE_CORRELATION,33,"Dow Jones Rises as Labor Market Disappoints; Boeing Stock Sinks on Possible Equi | Dow Jones Today: Another Round of Unemployment Data Dragged Stocks | Close Update: Dow Rallies Above 25,000 as Stocks Hit More Records Ahead of Key J | Dow Jones Today: Ides of March Linger as Jobs Report Punishes Stocks | Stock Market Today: Dow Jones, S&P 500 Open Mixed On December Jobs Report; GME S"
event:employment,event,asset:dollar,asset,NEGATIVE_IMPACT,32,"Jobs Report Nudges The Dollar Lower: 5 Things The Global Markets Are Talking Abo | US Dollar and Treasuries Fall After Jobs Report as Equities Move Higher | USD Settles Lower Despite Unemployment Rate Setting New Record | Canada dollar sags on U.S. jobs report, bonds fall | Dollar down on soft ADP ahead of jobs report"
asset:stocks,asset,asset:crude,asset,POSITIVE_CORRELATION,28,"European Stocks Advance Led by Miners, Oil Stocks Ahead of US Jobs Report | Stock Market Today: Oil Slammed Ahead of Jobs Report | Mid-Day ETF Update: ETFs, Stocks Lower, In Step with Crude as Investors Look Ahe | Mid-Day ETF Update: ETFs, Stocks Weaker Despite Bump in Crude Oil Prices; Concer | US STOCKS-Futures climb on lower oil prices; private jobs report in focus"
asset:dollar,asset,asset:yen,asset,POSITIVE_CORRELATION,27,"Yen Falls Against Dollar and Euro Ahead of U.S. Jobs Report (FXY) | FOREX-Euro rebounds, dollar up vs yen on jobs report | FOREX-Dollar rebounds vs yen, U.S. nonfarm payrolls awaited | FOREX-Dollar rises vs yen after U.S. jobs report | Dollar rises Vs yen after US jobs report"
event:employment,event,asset:dollar,asset,POSITIVE_IMPACT,26,"Dollar Rally Takes Breather Ahead Of U.S. Jobs Report | Another Strong Jobs Report May Not Be Sufficient To Reignite Dollar Rally | US Jobs Report Shows Dollar To Outperform Further | Wall Street stocks, dollar rally on U.S. jobs report | GLOBAL MARKETS-Wall Street stocks, dollar rally on U.S. jobs report"
asset:stocks,asset,asset:asia_stocks,asset,POSITIVE_CORRELATION,24,"Asian Stocks Mixed Ahead of US Jobs Report | Asian Shares Mixed After Weak US Jobs Report | Asian shares lower following U.S. jobs report | GLOBAL MARKETS-Asian shares creep up, nonfarm payrolls in focus | GLOBAL MARKETS-Asian shares, dollar awaits U.S. jobs report"
event:employment,event,asset:crude,asset,NEGATIVE_IMPACT,24,"Stock Market Today: Oil Slammed Ahead of Jobs Report | Mid-Day ETF Update: ETFs, Stocks Lower, In Step with Crude as Investors Look Ahe | US STOCKS-Futures climb on lower oil prices; private jobs report in focus | CANADA STOCKS-TSX futures fall on oil slump; employment data awaited | Large Cap Bank Stocks Trading Higher Pre-Market After Strong Jobs Report, S&P E-"
event:employment,event,asset:nikkei,asset,NEUTRAL_IMPACT,24,"Nikkei slips ahead of U.S. jobs report, Fast Retailing shines | Nikkei flat amid choppy trade, profit-taking ahead of U.S. jobs report | Nikkei drops as strong U.S. jobs report stokes concerns about Fed rate hike | Nikkei rises on upbeat U.S. jobs report; Fujifilm surges on Ebola cure hope | Nikkei falls 1.1 pct after jobs report; yen weighs"
event:employment,event,asset:yields,asset,POSITIVE_IMPACT,22,"Nasdaq Futures Slip as Bond Yields Rebound, U.S. Jobs Report Looms | Stocks Set to Open Lower as Bond Yields Rebound, U.S. Jobs Report Looms | Markets Today: Stocks Slip as Bond Yields Climb on U.S. Labor Market Strength | US STOCKS-S&P 500, Nasdaq fall as yields rally on hot labor market data | US STOCKS-S&P 500, Nasdaq set to fall as yields rally on labor market data"
event:employment,event,asset:crude,asset,POSITIVE_IMPACT,21,"European Stocks Advance Led by Miners, Oil Stocks Ahead of US Jobs Report | Solar, Jets ETFs Surge Amid Jobs Report, Oil Rout | Energy Stocks In Focus As Crude Oil Extends Rally, But Weak Employment Data Coul | Crude Oil and Gold Selling Off After Initially Trading Higher on Jobs Report | Dow Jones Today, Futures Slip As Oil Prices, Unemployment Data Spike; Walgreens "
event:employment,event,asset:gold,asset,NEGATIVE_IMPACT,21,"CANADA STOCKS-TSX slips on decline in bullion prices, grim employment data | COMMODITIES: Gold Loses Luster, Down More Than $30 Following Upbeat Nonfarm Payr | Shares of several gold and silver mining companies are trading lower as the US d | Large Cap Bank Stocks Trading Higher Pre-Market After Strong Jobs Report, S&P E- | Gold Movers Lower Following Jobs Report: Down ~$3/Oz. Over Last Few Mins., Down "
event:rate_cut,event,asset:stocks,asset,NEGATIVE_IMPACT,21,Shares of several banks and financial services companies are trading lower. The  | U.S. Stocks Slammed After Coronavirus Rate Cut; 2 Gold Stocks Make Bullish Moves | Stock Slide Continues After Recession Scare; Too Soon For A New Fed Rate Cut? | Financial stocks slide as traders bet on more Fed rate cuts | Argentina stocks pare initial jump on Fed rate cut
event:employment,event,asset:yields,asset,NEUTRAL_IMPACT,20,"Stocks Little Changed Before the Open as Bond Yields Stabilize, U.S. ADP Jobs Re | Nasdaq Futures Climb as Bond Yields Retreat, U.S. Jobs Report Looms | US two-year Treasury yield surges to 16-year high after employment data | TREASURIES-U.S. yields steady ahead of U.S. jobs report | TREASURIES-U.S. 10-year yields above 2 pct before jobs report"
asset:stocks,asset,asset:bonds,asset,POSITIVE_CORRELATION,20,"Stocks Little Changed Before the Open as Bond Yields Stabilize, U.S. ADP Jobs Re | GLOBAL MARKETS-Stocks tumble, U.S. bond yields rise on strong jobs report | GLOBAL MARKETS-Stocks fall, U.S. bond yields jump on strong jobs report | GLOBAL MARKETS-Stocks, bonds tumble as stellar US jobs report may force Fed reth | Stocks Soar on ECB Bond-Buying Plans, Jobs Report Optimism"
event:rate_cut,event,asset:futures,asset,NEUTRAL_IMPACT,19,"Wall St futures inch up as investors pin hopes on Fed rate cuts | Dow Jones Futures: Apple, AMD Lead Key Earnings Movers; Stock Market Rally Await | Dow Jones Futures: After Fed Rate Cut Flops, A Coronavirus Stock Market Correcti | US RATE FUTURES-March Fed rate cut ideas reshaped | US RATE FUTURES-Zero implied chance of June Fed rate cut"
asset:stocks,asset,asset:financials,asset,POSITIVE_CORRELATION,19,"Miners, financials lift Australian shares ahead of June employment data | US STOCKS-Wall St sinks on jitters about banks after mixed jobs report | US STOCKS-Wall St falls on jitters about banks after mixed jobs report | European Stocks Rebound On US Jobs Report, Financial Sector Recovers | US STOCKS-Wall St falls on bank stocks tumble, jobs report jitters"
event:employment,event,asset:yields,asset,NEGATIVE_IMPACT,18,"GLOBAL MARKETS-Stocks tumble, U.S. bond yields rise on strong jobs report | GLOBAL MARKETS-Stocks fall, U.S. bond yields jump on strong jobs report | TREASURIES-Yields fall as COVID-19, jobs report cloud economic view | PRECIOUS-Gold steadies as bond yields slip; focus on U.S. jobs report | Big miss in February jobs report sends U.S. yields lower"
event:employment,event,event:rate_cut,event,CO_OCCURRENCE,18,"US STOCKS-Wall St rises as soft employment data supports rate cut bets | Midday Update: Stocks Rally on Labor Market Gains, Japanese Stimulus Measures &  | Nonfarm Payrolls – It May Take More Than 1 Bad Reading to Force a Rate Cut | Stock Market Today: Jobs Report Makes for Layup Rate Cut?  | TREASURIES-Yields jump, rate cut expectations pared back after strong jobs repor"
asset:dow,asset,asset:sp500,asset,POSITIVE_CORRELATION,18,"Opening View: DJIA, SPX Ready to Rally as Jobs Report Jolts the Bulls | Opening View: DJIA, SPX Edge Lower Ahead of ADP Employment Data | Mid-Day ETF Update: ETFs, Stocks Surge Higher as Dow, S&P 500 Hit Record Highs o | Stock Market Today: Dow Jones, S&P 500 Open Mixed On December Jobs Report; GME S | US STOCKS-S&P 500, Dow dip as labor market recovery slows"
event:employment,event,asset:canadian_dollar,asset,NEUTRAL_IMPACT,18,"After a Blowout Jobs Report, Is The Canadian Dollar Now in Play? | Labor Market Numbers Put the Loonie and Greenback in Focus | USD/CAD levels to watch over Canadian jobs report via ForexLive | Canadian Dollar (FXC) Falls After Employment Data | Strong Canadian jobs report sends loonie flying"
event:rate_hike,event,asset:stocks,asset,NEUTRAL_IMPACT,17,Wall St logs sharp losses as labor market strength stokes rate-hike fears | US STOCKS-Wall St subdued as signs of tight labor market fuel rate hike fears | US STOCKS-Wall Street climbs after jobs report rekindles hopes of smaller rate h | US STOCKS-Wall Street tumbles as jobs report cements harsh rate hike outlook | Close Update: Wall Street Braces For December Rate Hike After Bullish October Jo
event:employment,event,asset:nasdaq,asset,NEUTRAL_IMPACT,17,"Nasdaq closes in on record high after surprise jobs report | Wall St jumps, Nasdaq set for record closing high after surprise jobs report | Close Update: Labor Market Report Powers S&P 500 and Nasdaq to Record Highs | US STOCKS-S&P 500, Nasdaq hit record highs as stimulus hopes outweigh dire jobs  | Tech lifts Nasdaq to record close but Wall Street mixed on jobs report"
asset:stocks,asset,asset:investors,asset,CO_OCCURRENCE,17,US STOCKS-Wall St set to open higher as investors pin hopes on Fed rate cuts | US STOCKS-S&P 500 end lower as investors weigh fresh employment data | Midday Update: Stocks Rally on Strong Jobs Report as Traders Accept Good News as | US STOCKS-Wall St ends lower as investors weigh fresh employment data | Mid-Day Update: Stocks Lower as Egypt Concerns Cap Momentum; Investors Await Fri
event:employment,event,asset:real,asset,NEUTRAL_IMPACT,17,"What Jumped Out Of This Jobs Report? - Real Time Insight | What's Your Favorite Jobs Report Stock? - Real Time Insight | EU Says Monti Addressed Real Challenges in Italy Labor Market | Why Did This Jobs Report Stink? - Real Time Insight | Real Estate Rallies On Strong Earnings, Robust Jobs Report"
event:employment,event,asset:financials,asset,NEUTRAL_IMPACT,17,"Sector Update: Financials Mixed Pre-Market Ahead of Jobs Report | Stocks Slip, But Try To Recover Amid Jobs Report Miss; Banks Up | US STOCKS-Wall St sinks on jitters about banks after mixed jobs report | US STOCKS-Wall St falls on jitters about banks after mixed jobs report | Trading Radar: Busy Holiday-Shortened Week Ahead With Nonfarm Payrolls and Centr"
event:rate_cut,event,asset:bonds,asset,POSITIVE_IMPACT,17,"TREASURIES-Yields jump, rate cut expectations pared back after strong jobs repor | TREASURIES-Extend rally in Asia on Fed rate cut view | TREASURIES-Rise in Asia on growth worries, Fed rate cut view | Mexico stocks off, bonds surge as US rate cut looms | TREASURIES-Bonds gain as traders see modest Fed rate cut"
event:employment,event,asset:gold,asset,POSITIVE_IMPACT,16,"Gold and Silver Miners Soar on the Heels of Weaker Employment Data -- Is This Ju | Gold Funds Sparkle Again And Stocks Kick Higher On 'Goldilocks' Jobs Report | Gold Futures Spike to High of $1365.60 Ahead on Nonfarm Payroll Data | Crude Oil and Gold Selling Off After Initially Trading Higher on Jobs Report | Gold, Silver Spike Higher Following Jobs Report"
asset:canadian_dollar,asset,asset:dollar,asset,POSITIVE_CORRELATION,16,"After a Blowout Jobs Report, Is The Canadian Dollar Now in Play? | Labor Market Numbers Put the Loonie and Greenback in Focus | USD/CAD levels to watch over Canadian jobs report via ForexLive | Canadian Dollar (FXC) Falls After Employment Data | USD/CAD - Canada's Jobs Report A Sideshow To NFP"
